id_tabe,shop_name_tabe,tabelog_url_tabe,rating_value_tabe,rating_cnt_tabe,post_code_tabe,addr_region_tabe,addr_local_tabe,street_addr_tabe,latitude_tabe,longitude_tabe,tel_tabe,eigyo_info_tabe,nearest_station_tabe,homepage_tabe,official_account_tabe
10,ラーメン二郎 めじろ台店,https://tabelog.com/tokyo/A1329/A132904/13209016/,3.64,90,1930942,東京都,八王子市,椚田町513-9,35.63893957512756,139.31221342045504,不明の為情報お待ちしております,日曜日・木曜日・祝日,めじろ台駅,,
11,ラーメン二郎 西台駅前店,https://tabelog.com/tokyo/A1322/A132205/13112690/,3.66,195,1740046,東京都,板橋区,蓮根3-9-7,35.786895637024834,139.67470844755803,非公開,水日祝・土曜の夜,西台駅,,https://www.facebook.com/jironishidai/
12,ラーメン二郎 小岩店,https://tabelog.com/tokyo/A1312/A131204/13021952/,3.70,247,1330057,東京都,江戸川区,西小岩3-31-13,35.73493200390012,139.8800398984138,非公開,土・日・祝,小岩駅,,https://twitter.com/koiwajiro
13,ハイマウント,https://tabelog.com/tochigi/A0902/A090203/9014468/,3.44,67,3230031,栃木県,小山市,八幡町1-1-18,36.31053151410839,139.79845907923035,不明の為情報お待ちしております,月曜日,小山駅,,https://twitter.com/himount229?lang=ja
14,ラーメン二郎 中山駅前店,https://tabelog.com/kanagawa/A1401/A140207/14038422/,3.72,325,2260014,神奈川県,横浜市緑区,台村町309-1 土井ビル 1F,35.513043663277905,139.53866929868397,非公開,木曜日,中山駅,,https://twitter.com/nkymjiro
15,ラーメン二郎 栃木街道店,https://tabelog.com/tochigi/A0902/A090201/9002641/,3.64,175,3210225,栃木県,下都賀郡壬生町,本丸2-15-67,36.42294665449925,139.79485351953878,非公開,日曜・祝日,壬生駅,,https://twitter.com/Tochigikaidoten
16,麺屋 歩夢,https://tabelog.com/kanagawa/A1407/A140701/14071127/,3.60,122,2520202,神奈川県,相模原市中央区,淵野辺本町3-29-13,35.574098438940844,139.40670911355718,不明の為情報お待ちしております,月曜日,淵野辺駅,,https://twitter.com/menya_ayumu?s=09
17,ラーメン英二,https://tabelog.com/tokyo/A1326/A132602/13164704/,3.67,150,1830057,東京都,府中市,晴見町3-1,35.68226147013481,139.4792472759138,非公開,日曜日,北府中駅,,https://twitter.com/ra_meneiji
18,ラーメン二郎 千住大橋駅前店,https://tabelog.com/tokyo/A1324/A132402/13090912/,3.68,226,1200038,東京都,足立区,千住橋戸町10-8,35.74257557021303,139.79705866029553,非公開,木・土・日・祝,千住大橋駅,,https://twitter.com/senjujirou26
19,ラーメン二郎 荻窪店,https://tabelog.com/tokyo/A1319/A131906/13006060/,3.67,221,1670051,東京都,杉並区,荻窪4-33-1,35.70361481043096,139.62630519073352,不明の為情報お待ちしております,土日祝,荻窪駅,http://ogkb26.tumblr.com/,
20,ラーメンどでん 大宮西口店,https://tabelog.com/saitama/A1101/A110101/11043803/,3.54,96,3300854,埼玉県,さいたま市大宮区,桜木町4-38-1,35.90719367200526,139.6167470384419,不明の為情報お待ちしております,11:00〜15:00<br>18:00〜21:00</br>,大宮駅,http://ameblo.jp/doden1105/,
21,千里眼,https://tabelog.com/tokyo/A1318/A131811/13099150/,3.74,475,1530041,東京都,目黒区,駒場4-6-8 佐藤ビル　1F　,35.664011677397994,139.6784914685443,03-3481-5773,水曜日,東北沢駅,https://senrigaaan.com/,https://www.facebook.com/senrigaaan
22,自家製麺 No11,https://tabelog.com/tokyo/A1322/A132201/13236620/,3.63,129,1730024,東京都,板橋区,大山金井町14-12,35.744937093741285,139.70790845548197,03-3959-3811,火曜日・第4水曜日,大山駅,https://ramen-no11.com/,https://twitter.com/masamix111
23,麺屋 味方,https://tabelog.com/tokyo/A1301/A130103/13220344/,3.62,187,1050004,東京都,港区,新橋4-6-10,35.66473622707317,139.755584577468,不明の為情報お待ちしております,日曜日,新橋駅,,https://www.instagram.com/menyamikata
24,ラーメン二郎 湘南藤沢店,https://tabelog.com/kanagawa/A1404/A140404/14035072/,3.70,334,2510053,神奈川県,藤沢市,本町1-10-14,35.343016141267924,139.48221875971697,非公開,火曜日,藤沢駅,,https://twitter.com/fujiro_2430
25,ラーメン二郎 越谷店 ,https://tabelog.com/saitama/A1102/A110203/11049349/,3.63,127,3430000,埼玉県,越谷市,越ヶ谷2-3-7,35.89011962422322,139.78763626073868,不明の為情報お待ちしております,火曜日,越谷駅,https://ksgy26.tumblr.com/,https://twitter.com/ksgy26?s=09
26,ラーメン二郎 環七一之江店,https://tabelog.com/tokyo/A1312/A131205/13010385/,3.65,261,1320024,東京都,江戸川区,一之江8-3-4,35.6840902524945,139.88191486132303,非公開,水曜,一之江駅,,https://twitter.com/@ichinoejiro
27,ラーメン二郎 品川店,https://tabelog.com/tokyo/A1314/A131405/13007375/,3.71,433,1400001,東京都,品川区,北品川1-18-5 サンサーラ品川,35.623897043095816,139.74305666488735,03-3474-4026,日曜・祝日,北品川駅,http://www.geocities.co.jp/Foodpia-Olive/3433/page012.html,https://twitter.com/shinagawa26
28,ラーメン二郎 川越店,https://tabelog.com/saitama/A1103/A110303/11043900/,3.66,136,3501126,埼玉県,川越市,旭町1-4-15,35.90272367624323,139.47658817960283,不明の為情報お待ちしております,月曜,川越駅,https://kwge26.tumblr.com/,https://twitter.com/kwge26/
29,ラーメン一心 富山駅前本店,https://tabelog.com/toyama/A1601/A160101/16000059/,3.58,249,9300003,富山県,富山市,桜町1-1-36 地鉄ビル 1F,36.69959312482392,137.2161139446543,076-433-7258,日曜日　【年末年始　休業のお知らせ】 １２月２６日(日)　定休日 １２月２７日(月)　営業 １２月２８日(火)　営業 １２月２９日(水)　営業 １２月３０日(木)　休業 ～ １月３日(月)まで　休業  １月４日(火)から通常営業になります。,地鉄ビル前駅,http://www.r-isshin.com,
30,ラーメン二郎 環七新新代田店,https://tabelog.com/tokyo/A1318/A131803/13010833/,3.61,226,1550033,東京都,世田谷区,代田5-29-5 櫻井ビル 1F,35.6619198659721,139.66041594421694,非公開,日曜営業,新代田駅,,https://twitter.com/26shinshindaita
31,ラーメン二郎 目黒店,https://tabelog.com/tokyo/A1316/A131601/13003449/,3.72,589,1530063,東京都,目黒区,目黒3-7-2,35.63419809140329,139.7071230637792,03-3793-2785,水曜日（他に臨時休業日あり）,目黒駅,,
32,ラーメン二郎 桜台駅前店,https://tabelog.com/tokyo/A1321/A132101/13038383/,3.72,290,1760002,東京都,練馬区,桜台1-5-1,35.738787221856576,139.66168174442356,非公開,祝日不定休（メルマガでお知らせ）,桜台駅,,
33,メン ヤード ファイト,https://tabelog.com/kanagawa/A1401/A140205/14077174/,3.55,83,2210825,神奈川県,横浜市神奈川区,反町3-23-14,35.475912505723954,139.6266931423435,不明の為情報お待ちしております,土曜日・日曜日その他不定休あり,反町駅,,https://twitter.com/menyardfight
34,ラーメン二郎 茨城守谷店,https://tabelog.com/ibaraki/A0803/A080301/8008761/,3.68,268,3020124,茨城県,守谷市,美園4-1-5 美園ビル　１Ｆ,35.92400559235641,140.00084180227947,非公開,日曜日,南守谷駅,,https://twitter.com/genkimoriya
35,成蹊前ラーメン,https://tabelog.com/tokyo/A1320/A132001/13183927/,3.52,74,1800001,東京都,武蔵野市,吉祥寺北町3-4-3,35.70971850284147,139.5729190656428,不明の為情報お待ちしております,水曜日,吉祥寺駅,,https://twitter.com/namaro_atochi
36,蓮爾 新町一丁目店,https://tabelog.com/tokyo/A1317/A131707/13187151/,3.55,94,1540012,東京都,世田谷区,駒沢4-29-13 ケー・テー駒沢1F,35.63016731198912,139.65372212874973,不明の為情報お待ちしております,日曜日 月曜日 祝日,駒沢大学駅,,https://twitter.com/@hasumishinmachi
37,ラーメン二郎 亀戸店,https://tabelog.com/tokyo/A1312/A131202/13008000/,3.63,312,1360071,東京都,江東区,亀戸4-35-17 エレガントコーポラス　１０１号,35.70193237981342,139.82671029123946,不明の為情報お待ちしております,なし（臨時休業多し。ツイッターでアナウンスあるが、当日の場合もあるので注意）,亀戸駅,,https://twitter.com/jiro_kame_rjk?
38,ラーメン二郎  京都店,https://tabelog.com/kyoto/A2601/A260303/26028749/,3.65,170,6068117,京都府,京都市左京区,一乗寺里ノ前町4番,35.04392470652923,135.7874982654763,非公開,水曜日+不定休,一乗寺駅,,https://twitter.com/jiro_kyoto
39,ラーメン二郎 上野毛店,https://tabelog.com/tokyo/A1317/A131715/13010417/,3.67,265,1580093,東京都,世田谷区,上野毛1-26-16,35.61242034205096,139.63900583470627,非公開,日曜・祝日,上野毛駅,,
40,ラーメン二郎 千葉店,https://tabelog.com/chiba/A1201/A120101/12049275/,3.57,113,2600013,千葉県,千葉市中央区,中央1-7-8,35.61056178322778,140.12360261900895,不明の為情報お待ちしております,定休日：日曜日不定休：祝日,葭川公園駅,,https://twitter.com/jiro_chiba?s=09
41,麺屋 づかちゃん,https://tabelog.com/kanagawa/A1401/A140308/14071733/,3.54,62,2350033,神奈川県,横浜市磯子区,杉田4-2-17,35.384053605886926,139.62016596933134,不明の為情報お待ちしております,不定休,新杉田駅,,https://twitter.com/zukachann777
42,ラーメン二郎 前橋千代田町店,https://tabelog.com/gunma/A1001/A100101/10020992/,3.54,93,3710022,群馬県,前橋市,千代田町4-12-3,36.39238838285212,139.0709615440192,不明の為情報お待ちしております,月曜日　月祝の場合も休み,中央前橋駅,,https://twitter.com/SnBZt6eRCdz7lQw
43,ピコピコポン,https://tabelog.com/tokyo/A1305/A130504/13221961/,3.67,157,1690075,東京都,新宿区,高田馬場1-3-13,35.71037859552245,139.7094888042593,不明の為情報お待ちしております,土,西早稲田駅,https://picopicopon.amebaownd.com/,https://twitter.com/matunobu0330
44,麺屋鈴春,https://tabelog.com/tokyo/A1310/A131004/13250293/,3.84,238,1130033,東京都,文京区,本郷2-26-1 福重ビル 1F,35.7048853585667,139.76088228895438,03-6801-5233,日曜日,本郷三丁目駅,,https://twitter.com/menyasuzuharu
45,ラーメン二郎 仙台店,https://tabelog.com/miyagi/A0401/A040101/4011894/,3.69,261,9800822,宮城県,仙台市青葉区,立町2-8,38.26168452144467,140.86616971969622,非公開,無休、臨時休業日有,大町西公園駅,http://www.geocities.co.jp/Foodpia-Olive/3433/page037.html,https://twitter.com/jiro_sendai1023
46,ラーメン二郎 府中店,https://tabelog.com/tokyo/A1326/A132602/13022272/,3.59,222,1830022,東京都,府中市,宮西町1-15-5 関野屋ビル　１Ｆ,35.6719630931951,139.47729985624727,非公開,土曜日、日曜日、祝日,府中駅,http://www.geocities.co.jp/Foodpia-Olive/3433/page123.html,https://twitter.com/jiro_fuchu
47,ジャンプ,https://tabelog.com/saitama/A1102/A110204/11033807/,3.69,122,3440064,埼玉県,春日部市,南5-1-56,35.96996059621968,139.7596890723925,非公開,火曜,一ノ割駅,,https://twitter.com/jump20130430
48,ラーメン二郎  札幌店,https://tabelog.com/hokkaido/A0101/A010201/1041731/,3.68,200,0010000,北海道,札幌市北区,北6条西8丁目8-11,43.06737634638494,141.3439071141737,非公開,日曜日・祝日,さっぽろ駅（札幌市営）,,
49,ラーメン富士丸 神谷本店,https://tabelog.com/tokyo/A1323/A132305/13002910/,3.63,165,1150043,東京都,北区,神谷3-29-11,35.772329604118326,139.73311537862625,03-3598-6558,月曜日,志茂駅,,https://twitter.com/ramenfujimaru?s=21
50,らーめん 陸,https://tabelog.com/tokyo/A1317/A131709/13009443/,3.63,273,1560053,東京都,世田谷区,桜3-8-13 パレス馬事公苑　１０１号,35.639831257998615,139.63665560117738,03-5477-3841,木曜,上町駅,,https://twitter.com/ramen_riku
51,豚星。,https://tabelog.com/kanagawa/A1405/A140504/14058333/,3.74,429,2110025,神奈川県,川崎市中原区,木月4-5-20 1F,35.5599820530201,139.65439474879045,不明の為情報お待ちしております,なし(臨時休業日あり),元住吉駅,,https://twitter.com/butaboshi
52,ラーメン燈郎,https://tabelog.com/tokyo/A1312/A131204/13128244/,3.71,366,1240023,東京都,葛飾区,東新小岩1-1-1,35.71799816275719,139.85859301479528,03-3696-7187,火曜日（臨時営業あり）,新小岩駅,http://www.menya-itto.com/,
53,用心棒,https://tabelog.com/tokyo/A1310/A131003/13085246/,3.64,351,1010051,東京都,千代田区,神田神保町2-2-21 土田ビル １Ｆ,35.6964006371392,139.75667997305234,03-3556-3760,日曜日,神保町駅,https://senrigaaan.com/,https://www.facebook.com/youjinbou
54,麺屋 桐龍,https://tabelog.com/saitama/A1102/A110201/11028693/,3.66,228,3330811,埼玉県,川口市,戸塚3-36-18,35.86759003089145,139.75247216286135,非公開,なし,戸塚安行駅,http://menyakiryu.com/,https://twitter.com/menyakiryu
55,ラーメンどでん 大宮西口店,https://tabelog.com/saitama/A1101/A110101/11043803/,3.54,96,3300854,埼玉県,さいたま市大宮区,桜木町4-38-1,35.90719367200526,139.6167470384419,不明の為情報お待ちしております,11:00〜15:00<br>18:00〜21:00</br>,大宮駅,http://ameblo.jp/doden1105/,
56,ラーメン ゼンゼン,https://tabelog.com/kanagawa/A1405/A140505/14073182/,3.55,53,2130014,神奈川県,川崎市高津区,新作5-13-2,35.5875141526465,139.62513563335114,不明の為情報お待ちしております,日曜日,武蔵新城駅,,https://twitter.com/ramen_zenzen
57,ラーメン二郎 京急川崎店,https://tabelog.com/kanagawa/A1405/A140501/14000765/,3.66,324,2100001,神奈川県,川崎市川崎区,本町2-10,35.53492200977408,139.70519973880693,非公開,日曜・祝日,京急川崎駅,,
58,デカ盛り戦隊 豚レンジャー,https://tabelog.com/saitama/A1103/A110301/11040089/,3.54,80,3510114,埼玉県,和光市,本町21-26 コンステラション 1F,35.7846497012134,139.60738053143035,048-424-5348,無休,和光市駅,,https://twitter.com/BUTARANGER
59,ハイパーファットン,https://tabelog.com/kanagawa/A1401/A140206/14068605/,3.51,93,2230057,神奈川県,横浜市港北区,新羽町1688-1 1Ｆ,35.52845217683632,139.6115353155105,不明の為情報お待ちしております,日曜,新羽駅,,https://twitter.com/hfatton_nippa?s=09
60,ちばから 蒲田店,https://tabelog.com/tokyo/A1315/A131503/13260611/,3.50,34,1440051,東京都,大田区,西蒲田7-51-12 ライオンズマンション 1F,35.56237695374727,139.7110846526564,不明の為情報お待ちしております,日曜営業,蓮沼駅,,https://twitter.com/chibakara_kd
61,自家製ラーメン大者,https://tabelog.com/gunma/A1001/A100102/10009871/,3.57,125,3700042,群馬県,高崎市,貝沢町1282-1,36.340215968269725,139.02672150915154,非公開,毎週水曜日,高崎問屋町駅,,
62,びんびん豚,https://tabelog.com/saitama/A1102/A110202/11032351/,3.33,40,3350021,埼玉県,戸田市,新曽1021,35.811879485712886,139.6663677121755,非公開,火曜日,戸田駅,,https://twitter.com/binbinbuta
63,麺創研 紅 国分寺,https://tabelog.com/tokyo/A1325/A132502/13180975/,3.61,118,1850012,東京都,国分寺市,本町2-2-15,35.70059846164628,139.48290890532505,042-349-6690,年中無休　※年末年始・臨時研究日アリ,国分寺駅,http://www.mensoken.jp,https://www.facebook.com/mensoken
64,ラーメン 宮郎,https://tabelog.com/tokyo/A1315/A131503/13209616/,3.62,163,1440051,東京都,大田区,西蒲田7-63-9 パブセブン 1F,35.56188869718296,139.71248983621405,03-3734-5573,日曜日,蒲田駅,,https://twitter.com/ramenmiyarou
65,ラーメン 鷹の目 蒲田店,https://tabelog.com/tokyo/A1315/A131503/13234052/,3.55,99,1440051,東京都,大田区,西蒲田8-2-1,35.560721907901474,139.71422807890764,不明の為情報お待ちしております,基本無休,蒲田駅,,https://twitter.com/takanomeKMT
66,ぶたけん。,https://tabelog.com/chiba/A1202/A120202/12049169/,3.53,52,2720023,千葉県,市川市,南八幡5-8-5 ダイトウビル 1F,35.72087231802433,139.92324834617912,不明の為情報お待ちしております,なし,本八幡駅,,https://twitter.com/katoken1213
67,ラーメン二郎 大宮公園駅前店,https://tabelog.com/saitama/A1101/A110101/11052604/,3.61,76,3300805,埼玉県,さいたま市大宮区,寿能町1-24 前場ビル 1F,35.9225798227591,139.6320090799221,不明の為情報お待ちしております,水曜日,大宮公園駅,,https://twitter.com/omiyapark26
68,ラーメン二郎 会津若松駅前店,https://tabelog.com/fukushima/A0705/A070501/7011865/,3.64,171,9650041,福島県,会津若松市,駅前町6-31,37.50662451106265,139.93141628187902,不明の為情報お待ちしております,月曜日(祭日の場合は火曜日が定休)・第３日曜日・祝日は不定休,会津若松駅,,https://twitter.com/aizu_jiro
69,らーめん 玄,https://tabelog.com/tokyo/A1318/A131802/13237219/,3.51,76,1550031,東京都,世田谷区,北沢2-28-7 エルフェアシティ下北沢2 1F,35.66335147288166,139.66576126770786,03-4288-8463,水曜日・不定休あり,下北沢駅,,
70,えどもんど,https://tabelog.com/tokyo/A1311/A131105/13253804/,3.65,101,1160013,東京都,荒川区,西日暮里5-31-9,35.7337243485011,139.7683320091229,不明の為情報お待ちしております,月曜日、第1・3日曜日,西日暮里駅,,https://twitter.com/ooichiban1201
71,俺の生きる道 白山,https://tabelog.com/tokyo/A1323/A132301/13202927/,3.58,134,1130001,東京都,文京区,白山5-36-14 マガザン白山 1F,35.72020244471567,139.75146958767388,不明の為情報お待ちしております,日曜日,白山駅,,https://twitter.com/yumekata1128
72,家系ラーメン 王道家 本店,https://tabelog.com/ibaraki/A0803/A080301/8019708/,3.66,170,3020021,茨城県,取手市,寺田4988 フジ取手ボウル敷地内,35.91260869140074,140.0468734179041,0297-79-6007,月曜,新取手駅,http://www.oudouya.com/,
73,ラーメン ぶぅさん,https://tabelog.com/tokyo/A1317/A131712/13220921/,3.53,60,1420041,東京都,品川区,戸越5-15-1,35.60993276597344,139.71483409615365,不明の為情報お待ちしております,月曜日,荏原中延駅,,https://twitter.com/g2xy6cxpqhsxbxd
74,ラーメン 登良治郎,https://tabelog.com/kanagawa/A1401/A140205/14067226/,3.56,89,2210802,神奈川県,横浜市神奈川区,六角橋1-7-21,35.489001939123646,139.62670003910935,不明の為情報お待ちしております,火曜日,白楽駅,,https://twitter.com/hakuraku_toraji
75,ラーメン二郎 新潟店,https://tabelog.com/niigata/A1501/A150101/15016019/,3.63,143,9500088,新潟県,新潟市中央区,万代5-2-8,37.917232316591445,139.06007224177947,不明の為情報お待ちしております,月曜　木曜,新潟駅,,https://www.instagram.com/jiro.niigata/
76,パティスリージラフ,https://tabelog.com/toyama/A1601/A160101/16000052/,3.80,257,9398216,富山県,富山市,黒瀬北町1-8-7,36.66869282246094,137.20041917080988,076-491-7050,毎週水曜日・他、木曜中心となります。 (都合により変更する場合がございます）,南富山駅,http://www.patisserie-la-girafe.com/,https://www.instagram.com/ patisserie_la_girafe
77,ラーメン富士丸 西新井大師店,https://tabelog.com/tokyo/A1324/A132404/13008749/,3.65,163,1230841,東京都,足立区,西新井1-7-7,35.778249494193204,139.77897518630036,03-3896-6302,月曜日（祝日でも休み）,大師前駅,,https://twitter.com/fujimaru_nishi
78,自家製麺 まさき,https://tabelog.com/tokyo/A1329/A132902/13241722/,3.52,47,1960031,東京都,昭島市,福島町1011-13,35.70756128482022,139.38502004773682,080-3170-9944,月曜日、第2第4日曜日,東中神駅,,https://twitter.com/jksm_masaki
79,ラーメン富士丸 明治通り都電梶原店,https://tabelog.com/tokyo/A1323/A132303/13097679/,3.63,146,1140016,東京都,北区,上中里3-18-1,35.75018948043512,139.74948726053705,03-3927-3384,月曜日（月曜日が祝日でも関係なく休み）,梶原駅,,https://twitter.com/ramenfujimaru?s=11
80,麺屋 のスたOSAKA 難波千日前店 ,https://tabelog.com/osaka/A2701/A270202/27059770/,3.55,285,5420075,大阪府,大阪市中央区,難波千日前8-5,34.66369625485491,135.50385516175137,非公開,なし,難波駅（南海）,http://nosta.jp/,https://twitter.com/nosta_osaka
81,にかいや,https://tabelog.com/chiba/A1203/A120301/12004068/,3.54,77,2770055,千葉県,柏市,青葉台1-3-25,35.81506630823225,139.96515080709878,非公開,無休（臨時休業はあるかもしれません。情報はHPまで）,常盤平駅,http://m-pe.tv/u/page.php?uid=nicaiya&id=1&guid=on,
82,松戸中華そば　富田食堂,https://tabelog.com/chiba/A1203/A120302/12042171/,3.71,319,2710092,千葉県,松戸市,松戸1239-1 関根ビル 1F,35.78319277227076,139.9014981165194,047-312-3120,無休,松戸駅,http://www.tomita-cocoro.jp/,
83,俺の生きる道 つくば店,https://tabelog.com/ibaraki/A0802/A080201/8020409/,3.50,52,3050031,茨城県,つくば市,吾妻3-12-1,36.09036136321982,140.11149708907996,不明の為情報お待ちしております,日,つくば駅,,https://twitter.com/0remiti_tukuba
84,麺屋鳳,https://tabelog.com/tokyo/A1324/A132404/13178744/,3.53,51,1230842,東京都,足立区,栗原1-6-22,35.7797209151481,139.78982116224066,不明の為情報お待ちしております,水曜日,西新井駅,,https://twitter.com/otori_nishiarai
85,豚ゆう,https://tabelog.com/saitama/A1104/A110401/11048918/,3.44,25,3640007,埼玉県,北本市,東間5-100,36.041107830240705,139.52811863965573,不明の為情報お待ちしております,火曜日 水曜日,北本駅,,https://twitter.com/butayuu_1219
86,眞久中,https://tabelog.com/tokyo/A1310/A131003/13245646/,3.54,76,1010052,東京都,千代田区,神田小川町3-22 小川町細野ビル 1F,35.69646016392372,139.76175843743502,不明の為情報お待ちしております,不定休(店休の場合はTwitterで告知),神保町駅,,https://twitter.com/makunaka1015
87,麺処 ほん田 東十条店,https://tabelog.com/tokyo/A1323/A132304/13246568/,3.66,97,1140001,東京都,北区,東十条1-22-6,35.762743642516405,139.73068352194684,03-3912-3965,火曜日夜、水曜日,東十条駅,,https://twitter.com/hjj_ninnikuabur
88,赤ひげラーメン,https://tabelog.com/kanagawa/A1401/A140308/14040624/,3.56,104,2350036,神奈川県,横浜市磯子区,中原2-3-33,35.387574852901395,139.61770323395888,非公開,火曜日,新杉田駅,,https://twitter.com/akahigeramen
89,らーめん 武丸,https://tabelog.com/tochigi/A0901/A090101/9018435/,3.09,18,3200053,栃木県,宇都宮市,戸祭町2732-1,36.57510460054981,139.877866951354,不明の為情報お待ちしております,月曜日,東武宇都宮駅,,https://twitter.com/1090takemaru
90,鷹の目 獨協大学前本店,https://tabelog.com/saitama/A1102/A110203/11040563/,3.58,111,3400011,埼玉県,草加市,栄町2-9-12,35.84356096779407,139.80209275932896,048-936-2202,基本無休,獨協大学前駅,,https://twitter.com/takanomeDOKKYO
90,鷹の目 獨協大学前本店,https://tabelog.com/saitama/A1102/A110203/11040563/,3.58,111,3400011,埼玉県,草加市,栄町2-9-12,35.84356096779407,139.80209275932896,048-936-2202,基本無休,獨協大学前駅,,https://twitter.com/takanomeDOKKYO
92,ラーメン寿々㐂,https://tabelog.com/tochigi/A0905/A090502/9016498/,3.39,23,3291322,栃木県,さくら市,北草川1-1-7,36.68938058892657,139.9504003882069,不明の為情報お待ちしております,水曜日・日曜日,氏家駅,,https://twitter.com/suzuki_ujiie
93,特級中華蕎麦 洋介,https://tabelog.com/ibaraki/A0802/A080201/8021535/,3.42,48,3050854,茨城県,つくば市,上横場244-1,36.05293989523669,140.08455493846432,029-895-8266,年中無休,万博記念公園駅,https://www.tsuyoukokusai.co.jp/yousuke,https://twitter.com/yousuke20181111
94,ラーメン二郎 仙川店,https://tabelog.com/tokyo/A1326/A132601/13000699/,3.59,209,1820002,東京都,調布市,仙川町1-10-17,35.66178715437278,139.58387841787194,03-3326-0311,日曜・祝日,仙川駅,http://www.geocities.co.jp/Foodpia-Olive/3433/page006.html,https://twitter.com/senjiro26
95,陸 尾山台店,https://tabelog.com/tokyo/A1317/A131715/13139998/,3.60,128,1580082,東京都,世田谷区,等々力1-30-16 ライオンズマンション等々力 １F,35.60375982233445,139.65163601785,不明の為情報お待ちしております,月曜日,尾山台駅,,https://twitter.com/riku_oyamadai
96,用心棒　本号,https://tabelog.com/tokyo/A1310/A131004/13116286/,3.64,182,1130023,東京都,文京区,向丘1-20-6 ファミール本郷 1F,35.717513673762355,139.7576594751781,03-3817-0120,無し※年末年始除く,東大前駅,https://senrigaaan.com/,https://www.facebook.com/youjinbouh
97,茨城豚そば特龍 本店,https://tabelog.com/ibaraki/A0802/A080202/8023015/,3.37,22,3000300,茨城県,稲敷郡阿見町,大字阿見600-3,36.051742312942146,140.21563466300117,029-888-8888,木曜日、日曜日,土浦駅,,https://twitter.com/nbZAQG073mHsidG
98,ラーメン 雷 東京本丸店,https://tabelog.com/tokyo/A1302/A130201/13249452/,3.52,184,1000005,東京都,千代田区,丸の内1-9-1 グランスタ東京 1F,35.68172792811215,139.76618430372184,03-6268-0906,日曜営業,東京駅,https://www.tomita-cocoro.jp/,
